,name,position,agg score,pulp_pos
30,Francisco Conceição,FW-MF (AM,0.11327143965944729,FW
40,Gonçalo Ramos,FW,-0.07879203942137258,FW
58,João Félix,FW-MF,-0.12441750019775256,FW
74,Rafael Leão,FW-MF (AM,0.08993809995967829,FW
22,Bernardo Silva,FW-MF (AM-CM-WM),0.03701778290244306,MF
45,Bruno Fernandes,FW-MF (AM-CM-DM),0.32249129689375977,MF
54,João Neves,MF (CM-DM),0.13712175021691356,MF
67,João Palhinha,MF (CM-DM),-0.7636517440854832,MF
88,Vitinha,MF (CM-DM),0.2670209140723681,MF
9,António Silva,DF (CB,-0.17221623310720566,DF
26,Diogo Dalot,DF-MF (FB),-0.029309789126293957,DF
39,Gonçalo Inácio,DF (CB),0.040320441320894615,DF
52,Matheus Nunes,DF-MF (CM-DM),0.5928875230942448,DF
66,Nélson Semedo,DF-MF (DM-FB,-0.5362778314239488,DF
72,Renato Veiga,DF-MF,0.23510534002557465,DF
95,Rúben Dias,DF-MF (CB),-0.13050945078326334,DF
