,name,position,global role,roles,score
0,António Silva,DF (CB,DF,['CB'],{'CB': 3.6390314776543855}
1,Bernardo Silva,FW-MF (AM-CM-WM),MF,"['AM', 'CM', 'WM']","{'AM': 0.6496601563736771, 'CM': 0.8948274793841063, 'WM': 1.054111822861165}"
2,Bruno Fernandes,FW-MF (AM-CM-DM),MF,"['AM', 'CM', 'DM']","{'AM': 4.580292639355582, 'CM': 3.3745688865197065, 'DM': -5.786016392191458}"
3,Diogo Dalot,DF-MF (FB),DF,['FB'],{'FB': 0.49037489681575985}
4,Francisco Conceição,FW-MF (AM,FW,['AM'],{'AM': 2.1367223064611816}
5,Gonçalo Inácio,DF (CB),DF,['CB'],{'CB': 3.324163831503056}
6,Gonçalo Ramos,FW,FW,['CF'],{'CF': 4.913235015168584}
7,João Félix,FW-MF,FW,"['AM', 'CF']","{'AM': 1.1595996391651293, 'CF': 3.8054675024554463}"
8,João Neves,MF (CM-DM),MF,"['CM', 'DM']","{'CM': 1.4616408126862284, 'DM': -0.8573036739829671}"
9,João Palhinha,MF (CM-DM),MF,"['CM', 'DM']","{'CM': -0.1314751815522355, 'DM': 2.4182259177720042}"
10,Matheus Nunes,DF-MF (CM-DM),DF,"['CM', 'DM']","{'CM': 1.4481902775727682, 'DM': 0.21092083104731674}"
11,Nélson Semedo,DF-MF (DM-FB,DF,"['DM', 'FB']","{'DM': 0.8575857326888848, 'FB': 1.8743135810140192}"
12,Rafael Leão,FW-MF (AM,FW,['AM'],{'AM': 2.0435910927349084}
13,Renato Veiga,DF-MF,DF,"['DM', 'CB']","{'DM': 4.988136143090713, 'CB': 3.676295937694617}"
14,Rúben Dias,DF-MF (CB),DF,['CB'],{'CB': 3.7241791864091076}
15,Vitinha,MF (CM-DM),MF,"['CM', 'DM']","{'CM': 3.8754910139132157, 'DM': -3.467213143214082}"
